SH, 17, 1962021612, , MANN, 0, 129S, 1374E, 30, 1000
SH, 17, 1962021618, , MANN, 0, 130S, 1377E, 30, 999
SH, 17, 1962021700, , MANN, 0, 130S, 1380E, 35, 998
SH, 17, 1962021706, , MANN, 0, 133S, 1382E, 35, 998
SH, 17, 1962021712, , MANN, 0, 136S, 1385E, 35, 998
SH, 17, 1962021718, , MANN, 0, 138S, 1390E, 35, 998
SH, 17, 1962021800, , MANN, 0, 141S, 1395E, 35, 998
SH, 17, 1962021806, , MANN, 0, 142S, 1400E, 35, 997
SH, 17, 1962021812, , MANN, 0, 142S, 1405E, 35, 997
SH, 17, 1962021818, , MANN, 0, 141S, 1410E, 35, 998
SH, 17, 1962021900, , MANN, 0, 141S, 1415E, 35, 999
SH, 17, 1962021906, , MANN, 0, 141S, 1421E, 30, 999
SH, 17, 1962021912, , MANN, 0, 141S, 1427E, 30, 1000
